Zipcode:,58401,,Year:,2013,,,,,,
,,,,,,,,,,
Current Data:,,,Barnes County,Carrington,Finley,Wishek,Oakes,Forman,Lakota,Perley
,,Barlow ,70.6,48.2,65.8,49.1,75.5,,,
,,Brennan ,74.5,46.9,75.3,57.7,79.3,,,
,,Faller ,60.3,,,,,,,
,,Glenn ,63.6,,,,,,,
,,RB07 ,64.6,,,,,,,
,,SY Soren ,65.2,,,,,,,
,,WB-Mayville ,62.2,,,,,,,
,,,,,,,,,,
,,LSD:,5.4,5.9,5,,6.8,4.9,6.9,25.7
,,,,,,,,,,
,,,,,,,,,,
New Data:,,,Barnes County,Carrington,Finley,Wishek,Oakes,Forman,Lakota,Perley
,,Advance ,62.9,42.8,68.7,47.9,,68.3,73.6,70.9
,,Albany ,57.1,40.9,70,41.8,,59.8,75,75.1
,,Barlow ,70.6,48.2,65.8,49.1,75.5,67.6,76.7,70.1
,,Brennan ,74.5,46.9,75.3,57.7,79.3,67.1,73.9,68
,,Faller ,60.3,46.8,66.2,53.9,75.2,59.3,81.1,68.2
,,Glenn ,63.6,39.5,61.4,44,70.4,58,76.7,66.1
,,RB07 ,64.6,44.2,69.8,49.7,82.6,66.8,78,72.2
,,SY Soren ,65.2,44.9,71.8,46.9,85.5,68,74.5,66.1
,,WB-Mayville ,62.2,40.4,73.8,44.1,84.1,60.4,75.6,72.4
,,Vantage ,52.8,44.5,60.6,44,,58.7,62.2,75.8
,,Velva ,60.1,41.4,70.2,49.2,,67.9,78.6,67.2
,,,,,,,,,,
,,LSD:,5.4,5.9,5,,6.8,4.9,6.9,25.7
